Strain,Stress(Mpa)
0.000812167,123.6905512
0.000813308,123.7623681
0.000814449,123.834185
0.00081559,123.9060018
0.00081673,123.9778187
0.000817871,124.0496356
0.000819012,124.1214525
0.000820152,124.1932693
0.000821293,124.2650862
0.000822434,124.3369031
0.000823574,124.4087199
0.000824715,124.4805368
0.000825856,124.5523537
0.000826996,124.6241706
0.000828137,124.6959874
0.000829278,124.7678043
0.000830418,124.8396212
0.000831559,124.9114381
0.0008327,124.9832549
0.00083384,125.0550718
0.000834981,125.1268887
0.000836122,125.1987056
0.000837262,125.2705224
0.000838403,125.3423393
0.000839544,125.4141562
0.000840684,125.485973
0.000841825,125.5577899
0.000842966,125.6296068
0.000844106,125.7014237
0.000845247,125.7732405
0.000846388,125.8450574
0.000847528,125.9168743
0.000848669,125.9886912
0.00084981,126.060508
0.00085095,126.1323249
0.000852091,126.2041418
0.000853232,126.2759587
0.000854372,126.3477755
0.000855513,126.4195924
0.000856654,126.4626168
0.000857794,126.5056413
0.000858935,126.5486657
0.000860076,126.5916902
0.000861217,126.6347146
0.000862357,126.677739
0.000863498,126.7207635
0.000864639,126.7637879
0.000865779,126.8068124
0.00086692,126.8498368
0.000868061,126.8928612
0.000869201,126.9358857
0.000870342,126.9789101
0.000871483,127.0219346
0.000872624,127.064959
0.000873764,127.1079834
0.000874905,127.1510079
0.000876046,127.1940323
0.000877186,127.2370568
0.000878327,127.2800812
0.000879468,127.3231056
0.000880608,127.3661301
0.000881749,127.4091545
0.00088289,127.452179
0.000884031,127.4952034
0.000885171,127.5382278
0.000886312,127.5812523
0.000887453,127.6242767
0.000888593,127.6673012
0.000889734,127.7103256
0.000890494,127.767801
0.000891255,127.8252764
0.000892015,127.8827518
0.000892776,127.9402272
0.000893536,127.9977026
0.000894297,128.055178
0.000895057,128.1126534
0.000895818,128.1701287
0.000896578,128.2276041
0.000897339,128.2850795
0.000898099,128.3425549
0.00089886,128.4000303
0.00089962,128.4575057
0.000900381,128.5149811
0.000901141,128.5724565
0.000901901,128.6299319
0.000902662,128.6874073
0.000903422,128.7448827
0.000904183,128.8023581
0.000904943,128.8598335
0.000905704,128.9173089
0.000906464,128.9747843
0.000907225,129.0322596
0.000907985,129.089735
0.000908746,129.1472104
0.000909506,129.2046858
0.000910267,129.2621612
0.000911027,129.3196366
0.000911788,129.377112
0.000912548,129.4345874
0.000913689,129.4920081
0.000914829,129.5494287
0.00091597,129.6068494
